iter	Logloss
0	0.6200404518
1	0.5686164636
2	0.5317123098
3	0.5074127827
4	0.4884240575
5	0.4716176221
6	0.4584327999
7	0.4494736717
8	0.4425746126
9	0.434336887
10	0.4305298371
11	0.4255711528
12	0.4209553057
13	0.4163146732
14	0.4130261854
15	0.4103752629
16	0.4085075237
17	0.4069134818
18	0.4055613915
19	0.4043835654
20	0.4031701179
21	0.4014138393
22	0.4007922344
23	0.4000916571
24	0.3991842591
25	0.398541173
26	0.3974414694
27	0.3968655644
28	0.3954174418
29	0.3953089214
30	0.3952925393
31	0.3952265157
32	0.3951553188
33	0.3944313824
34	0.3937096967
35	0.3932539151
36	0.3932232196
37	0.3929470867
38	0.3923893208
39	0.3916568176
40	0.3916285178
41	0.3907485545
42	0.3901553262
43	0.3894656307
44	0.3890379433
45	0.3888391423
46	0.3885986834
47	0.3881859907
48	0.3880936491
49	0.3876922651
50	0.3875673624
51	0.3873521859
52	0.3870072067
53	0.3866360849
54	0.3865286269
55	0.3861712851
56	0.3855795871
57	0.3852374465
58	0.3851304478
59	0.3844042371
60	0.384365972
61	0.3840535717
62	0.3840366718
63	0.3836449891
64	0.3824327298
65	0.3821980232
66	0.3821185723
67	0.3820519571
68	0.3817226224
69	0.3815723899
70	0.3815324746
71	0.3814994166
72	0.3809056982
73	0.3807379976
74	0.3802954845
75	0.3798757531
76	0.3793266782
77	0.3785636196
78	0.378468102
79	0.37845521
80	0.3781439316
81	0.3773689979
82	0.3768428185
83	0.3760338457
84	0.3758093845
85	0.3754556234
86	0.3751916891
87	0.3749242753
88	0.3749092503
89	0.374744885
90	0.3746974006
91	0.3745840166
92	0.3741871335
93	0.3740913322
94	0.3737063872
95	0.3736601021
96	0.3732042148
97	0.372362523
98	0.3718103604
99	0.3715515437
100	0.371260418
101	0.3709444385
102	0.3708420719
103	0.3708114999
104	0.370728069
105	0.3702125708
106	0.3698257507
107	0.3694684933
108	0.3693888047
109	0.3683935355
