iter	Passed	Remaining
0	6	761
1	13	702
2	18	648
3	24	642
4	29	626
5	35	621
6	42	623
7	47	607
8	53	595
9	58	586
10	61	551
11	64	526
12	70	524
13	75	519
14	81	513
15	86	507
16	90	492
17	95	488
18	105	506
19	114	516
20	122	517
21	128	512
22	135	511
23	139	500
24	143	486
25	152	491
26	155	478
27	158	464
28	160	448
29	162	432
30	163	416
31	165	403
32	167	389
33	168	377
34	170	366
35	177	364
36	178	353
37	182	346
38	185	338
39	187	328
40	190	319
41	192	310
42	193	302
43	195	293
44	197	285
45	199	277
46	201	270
47	203	262
48	205	256
49	207	249
50	209	242
51	211	235
52	213	229
53	215	223
54	217	217
55	219	211
56	221	205
57	222	199
58	224	194
59	226	189
60	228	183
61	230	178
62	232	173
63	234	168
64	236	164
65	238	159
66	240	154
67	242	149
68	244	145
69	246	140
70	248	136
71	250	132
72	252	127
73	254	123
74	255	119
75	257	115
76	259	111
77	261	107
78	263	103
79	265	99
80	267	95
81	269	91
82	271	88
83	273	84
84	275	80
85	277	77
86	279	73
87	281	70
88	284	67
89	288	64
90	290	60
91	292	57
92	293	53
93	295	50
94	297	47
95	299	43
96	301	40
97	303	37
98	305	33
99	307	30
100	309	27
101	311	24
102	313	21
103	314	18
104	316	15
105	318	12
106	320	8
107	322	5
108	324	2
109	326	0
